longitude,latitude,elevation,gravity_mgal,regional_mgal
-43.25,-22.95,-4.006571693977092,-978402.7085239791,-978400.0
-43.247979797979795,-22.95,-5.910767798908483,-978402.4183671538,-978400.0
-43.2459595959596,-22.95,-4.970547459535263,-978402.7946732859,-978400.0
-43.24393939393939,-22.95,-3.846452730788107,-978402.172807662,-978400.0
-43.241919191919195,-22.95,-7.97978662125624,-978401.1734056546,-978400.0
-43.23989898989899,-22.95,-8.588608370882898,-978403.2303190547,-978400.0
-43.237878787878785,-22.95,-5.558198925589007,-978401.5483858262,-978400.0
-43.23585858585859,-22.95,-7.7630796625852065,-978403.4219403295,-978400.0
-43.23383838383838,-22.95,-10.80091613287472,-978403.5799791139,-978400.0
-43.231818181818184,-22.95,-9.321288087383056,-978402.0067453878,-978400.0
-43.22979797979798,-22.95,-11.855914676171114,-978401.9971726523,-978400.0
-43.227777777777774,-22.95,-12.3593356040064,-978402.1621194015,-978400.0
-43.22575757575758,-22.95,-11.416865571688561,-978404.4242628354,-978400.0
-43.22373737373737,-22.95,-16.17247757589109,-978403.6697271651,-978400.0
-43.221717171717174,-22.95,-16.21130030794295,-978402.4763265995,-978400.0
-43.21969696969697,-22.95,-14.2703345789852,-978403.3533891792,-978400.0
-43.217676767676764,-22.95,-15.52291654016438,-978404.5641604558,-978400.0
-43.215656565656566,-22.95,-13.186038969284997,-978403.1274466999,-978400.0
-43.21363636363636,-22.95,-15.912368104587742,-978404.395465196,-978400.0
-43.21161616161616,-22.95,-17.166086005321294,-978401.9804550732,-978400.0
-43.20959595959596,-22.95,-11.617724876597606,-978402.3237186007,-978400.0
-43.20757575757575,-22.95,-15.169668284208683,-978403.3571279467,-978400.0
-43.205555555555556,-22.95,-14.713021120746147,-978402.6917942093,-978400.0
-43.20353535353535,-22.95,-17.787881017039503,-978404.0783189802,-978400.0
-43.20151515151515,-22.95,-16.077438840880404,-978403.4665389038,-978400.0
-43.19949494949495,-22.95,-14.776896097319018,-978402.8415012949,-978400.0
-43.19747474747475,-22.95,-17.270534914364134,-978404.1591699731,-978400.0
-43.195454545454545,-22.95,-14.146818382118042,-978404.7433283781,-978400.0
